course_code,title,credits,grade,session,year,status
AMS199,,0.5,A-,Fall,2023,completed
MUN101,,0.5,A-,Fall,2023,completed
MUN195,,0.5,A,Fall,2023,completed
MUN198,,0.5,A-,Fall,2023,completed
MUN102,,0.5,D,Winter,2024,completed
MUN105,,1,A,Winter,2024,completed
MUN196,,0.5,D-,Winter,2024,completed
RLG107,,0.5,B+,Winter,2024,completed
SOC100,,0.5,LWD,Winter,2024,completed
ECO101,,0.5,F,Summer,2024,completed
HIS103,,1,B,Summer,2024,completed
AMS310,,0.5,B,Fall,2024,completed
ECO101,,0.5,D,Fall,2024,completed
POL218,,0.5,CR,Fall,2024,completed
STA220,,0.5,D-,Fall,2024,completed
CSC108,,0.5,F,Winter,2025,completed
GGR274,,0.5,B-,Winter,2025,completed
MUN200,,0.5,B,Winter,2025,completed
POL214,,0.5,C,Winter,2025,completed
ECO102,,0.5,D-,Summer,2025,completed
GGR375,,0.5,IPR,Fall,2025,
POL208,,0.5,IPR,Fall,2025,
PPG301,,0.5,IPR,Fall,2025,
PPG310,,0.5,IPR,Fall,2025,
URB335,,0.5,IPR,Fall,2025,
POL219,,0.5,IPR,Winter,2026,
PPG200,,0.5,IPR,Winter,2026,
PPG310,,0.5,IPR,Winter,2026,
PPG410,,0.5,IPR,Winter,2026,
STA221,,0.5,IPR,Winter,2026,
